"Simbolo","Probabilidad","Informacion"
"(broadcast, IP)","0.051037149888667525","4.292308424078952"
"(broadcast, ARP)","0.24332005156451425","2.039072879828078"
"(unicast, IPv6)","0.05001171920778155","4.321589989650079"
"(unicast, ARP)","0.004248212820813313","7.878928242662882"
"(unicast, IP)","0.6451716863939998","0.6322449682277589"
"(broadcast, LLC)","0.005801007851869214","7.429480712598207"
"(broadcast, Raw)","0.00041017227235438887","11.251482410620213"
"Entropia de la fuente","1.4204360901624027"
"Entropia Maxima","2.807354922057604"
